what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecoretools.tabbedproperties,1.0.0.v20110601-1614,"org.eclipse.emf.ecoretools.tabbedproperties",1504976972310
started,bundle,org.eclipse.emf.ecoretools.properties,1.0.0.v20110601-1615,"org.eclipse.emf.ecoretools.properties",1504976972310
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1504976972523
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1504976972576
activated,editor,org.eclipse.emf.ecoretools.diagram,1.0.0.v20110601-1615,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1504976977423
closed,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1504976977471
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504976981776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504976987534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1504976988998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504976989012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504976991092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1504976991818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504976991851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504976995669
opened,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.variantmodel.presentation.VariantModelEditorID",1504977045230
activated,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.variantmodel.presentation.VariantModelEditorID",1504977045260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1504977045368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504977045389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504977054794
activated,editor,org.eclipse.emf.ecoretools.diagram,1.0.0.v20110601-1615,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1504977058279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504977058307
closed,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.variantmodel.presentation.VariantModelEditorID",1504977058322
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1504977058484
closed,editor,org.eclipse.emf.ecoretools.diagram,1.0.0.v20110601-1615,"org.eclipse.emf.ecoretools.diagram.part.EcoreDiagramEditorID",1504977058486
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504977060570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504977063409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1504977063979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504977063999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504977066759
opened,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1504977114811
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1504977114834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1504977114908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504977114937
activated,editor,org.eclipse.featuremodel.metamodel.editor,0.7.0,"org.eclipse.featuremodel.presentation.FeatureModelEditorID",1504977268527
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1504977272143
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1504977295716
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1504977358665
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1504977407928
activated,editor,org.eclipse.featuremodel.diagrameditor,0.1.0.201207021031,"org.eclipse.featuremodel.diagrameditor.diagrameditor",1504977429506
